lat,lon
40.701863,-74.015915
40.70186402,-74.01590257
40.7018678,-74.01585643
40.70187495,-74.015769
40.70188548,-74.0156403
40.70189931,-74.0154712
40.70191421,-74.0152891
40.70192911,-74.01510697
40.689582,-73.886988
40.689582,-73.886988
40.689582,-73.886988
40.68958771,-73.88699798
40.68958771,-73.88699798
40.68958771,-73.88699798
40.68960889,-73.88703503
40.68960889,-73.88703503
40.68960889,-73.88703503
40.68964903,-73.88710522
40.68964903,-73.88710522
40.68964903,-73.88710522
40.68970812,-73.88720856
40.68970812,-73.88720856
40.68970812,-73.88720856
40.68978575,-73.88734433
40.68978575,-73.88734433
40.68978575,-73.88734433
40.68986932,-73.8874905
40.68986932,-73.8874905
40.68986932,-73.8874905
40.6899529,-73.88763667
40.6899529,-73.88763667
40.6899529,-73.88763667
40.69003648,-73.88778284
40.69003648,-73.88778284
40.69003648,-73.88778284
40.69012006,-73.88792903
40.69012006,-73.88792903
40.69012006,-73.88792903
40.69020365,-73.88807521
40.69020365,-73.88807521
40.69020365,-73.88807521
40.69028724,-73.88822141
40.69028724,-73.88822141
40.69028724,-73.88822141
40.69037083,-73.88836761
40.69037083,-73.88836761
40.69037083,-73.88836761
40.69045443,-73.88851381
40.69045443,-73.88851381
40.69045443,-73.88851381
40.69053803,-73.88866003
40.69053803,-73.88866003
40.69053803,-73.88866003
40.69062163,-73.88880624
40.69062163,-73.88880624
40.69062163,-73.88880624
40.69070523,-73.88895247
40.69070523,-73.88895247
40.69070523,-73.88895247
40.69078884,-73.88909869
40.69078884,-73.88909869
40.69078884,-73.88909869
40.69087245,-73.88924493
40.69087245,-73.88924493
40.69087245,-73.88924493
40.69095606,-73.88939117
40.69095606,-73.88939117
40.69095606,-73.88939117
40.69103968,-73.88953741
40.69103968,-73.88953741
40.69103968,-73.88953741
40.69112329,-73.88968367
40.69112329,-73.88968367
40.69112329,-73.88968367
40.69120692,-73.88982992
40.69120692,-73.88982992
40.69120692,-73.88982992
40.69129054,-73.88997619
40.69129054,-73.88997619
40.69129054,-73.88997619
40.69137417,-73.89012245
40.69137417,-73.89012245
40.69137417,-73.89012245
40.6914578,-73.89026873
40.6914578,-73.89026873
40.6914578,-73.89026873
40.69154143,-73.89041501
40.69154143,-73.89041501
40.69154143,-73.89041501
40.69162507,-73.89056129
40.69162507,-73.89056129
40.69162507,-73.89056129
40.6917087,-73.89070759
40.6917087,-73.89070759
40.6917087,-73.89070759
40.69179235,-73.89085388
40.69179235,-73.89085388
40.69179235,-73.89085388
40.69187599,-73.89100019
40.69187599,-73.89100019
40.69187599,-73.89100019
40.69195964,-73.89114649
40.69195964,-73.89114649
40.69195964,-73.89114649
40.69204329,-73.89129281
40.69204329,-73.89129281
40.69204329,-73.89129281
40.69212694,-73.89143913
40.69212694,-73.89143913
40.69212694,-73.89143913
40.6922106,-73.89158545
40.6922106,-73.89158545
40.6922106,-73.89158545
40.69229425,-73.89173179
40.69229425,-73.89173179
40.69229425,-73.89173179
40.69237792,-73.89187812
40.69237792,-73.89187812
40.69237792,-73.89187812
40.69246158,-73.89202447
40.69246158,-73.89202447
40.69246158,-73.89202447
40.69254525,-73.89217081
40.69254525,-73.89217081
40.69254525,-73.89217081
40.69262892,-73.89231717
40.69262892,-73.89231717
40.69262892,-73.89231717
40.69271259,-73.89246353
40.69271259,-73.89246353
40.69271259,-73.89246353
40.69279627,-73.89260989
40.69279627,-73.89260989
40.69279627,-73.89260989
40.69287995,-73.89275627
40.69287995,-73.89275627
40.69287995,-73.89275627
40.69296363,-73.89290264
40.69296363,-73.89290264
40.69296363,-73.89290264
40.69304731,-73.89304903
40.69304731,-73.89304903
40.69304731,-73.89304903
40.693131,-73.89319542
40.693131,-73.89319542
40.693131,-73.89319542
40.73516696,-73.94350021
40.69321469,-73.89334181
40.69321469,-73.89334181
40.69321469,-73.89334181
40.7350467,-73.9433843
40.69329838,-73.89348821
40.69329838,-73.89348821
40.69329838,-73.89348821
40.73492644,-73.94326838
40.69338208,-73.89363462
40.69338208,-73.89363462
40.69338208,-73.89363462
40.73480618,-73.94315247
40.69346578,-73.89378103
40.69346578,-73.89378103
40.69346578,-73.89378103
40.73468593,-73.94303655
40.69354948,-73.89392745
40.69354948,-73.89392745
40.69354948,-73.89392745
40.73456567,-73.94292064
40.69363318,-73.89407387
40.69363318,-73.89407387
40.69363318,-73.89407387
40.73444541,-73.94280473
40.69371689,-73.8942203
40.69371689,-73.8942203
40.69371689,-73.8942203
40.73432515,-73.94268881
40.6938006,-73.89436673
40.6938006,-73.89436673
40.6938006,-73.89436673
40.73420489,-73.9425729
40.69388432,-73.89451317
40.69388432,-73.89451317
40.69388432,-73.89451317
40.73408464,-73.94245699
40.69396803,-73.89465962
40.69396803,-73.89465962
40.69396803,-73.89465962
40.73396438,-73.94234108
40.69405175,-73.89480607
40.69405175,-73.89480607
40.69405175,-73.89480607
40.73384412,-73.94222517
40.69413547,-73.89495253
40.69413547,-73.89495253
40.69413547,-73.89495253
40.73372386,-73.94210926
40.6942192,-73.89509899
40.6942192,-73.89509899
40.6942192,-73.89509899
40.7336036,-73.94199335
40.69430293,-73.89524546
40.69430293,-73.89524546
40.69430293,-73.89524546
40.73348334,-73.94187744
40.69438666,-73.89539194
40.69438666,-73.89539194
40.69438666,-73.89539194
40.73336308,-73.94176153
40.69447039,-73.89553842
40.69447039,-73.89553842
40.69447039,-73.89553842
40.73324282,-73.94164562
40.69455413,-73.8956849
40.69455413,-73.8956849
40.69455413,-73.8956849
40.73312256,-73.94152971
40.69463787,-73.89583139
40.69463787,-73.89583139
40.69463787,-73.89583139
40.7330023,-73.9414138
40.69472161,-73.89597789
40.69472161,-73.89597789
40.69472161,-73.89597789
40.73288204,-73.94129789
40.69480535,-73.8961244
40.69480535,-73.8961244
40.69480535,-73.8961244
40.73276178,-73.94118198
40.6948891,-73.89627091
40.6948891,-73.89627091
40.6948891,-73.89627091
40.73264152,-73.94106608
40.69497285,-73.89641742
40.69497285,-73.89641742
40.69497285,-73.89641742
40.73252126,-73.94095017
40.69505661,-73.89656394
40.69505661,-73.89656394
40.69505661,-73.89656394
40.732401,-73.94083426
40.69514036,-73.89671047
40.69514036,-73.89671047
40.69514036,-73.89671047
40.73228074,-73.94071836
40.69522412,-73.896857
40.69522412,-73.896857
40.69522412,-73.896857
40.73216048,-73.94060245
40.69530789,-73.89700354
40.69530789,-73.89700354
40.69530789,-73.89700354
40.73204022,-73.94048655
40.69539165,-73.89715008
40.69539165,-73.89715008
40.69539165,-73.89715008
40.73191996,-73.94037064
40.69547542,-73.89729663
40.69547542,-73.89729663
40.69547542,-73.89729663
40.7317997,-73.94025474
40.69555919,-73.89744319
40.69555919,-73.89744319
40.69555919,-73.89744319
40.73167944,-73.94013884
40.69564296,-73.89758975
40.69564296,-73.89758975
40.69564296,-73.89758975
40.73155918,-73.94002293
40.69572674,-73.89773631
40.69572674,-73.89773631
40.69572674,-73.89773631
40.73143892,-73.93990703
40.69581052,-73.89788289
40.69581052,-73.89788289
40.69581052,-73.89788289
40.73131866,-73.93979113
40.6958943,-73.89802947
40.6958943,-73.89802947
40.6958943,-73.89802947
40.7311984,-73.93967522
40.69597809,-73.89817605
40.69597809,-73.89817605
40.69597809,-73.89817605
40.73107813,-73.93955932
40.69606188,-73.89832264
40.69606188,-73.89832264
40.69606188,-73.89832264
40.73095787,-73.93944342
40.69614567,-73.89846923
40.69614567,-73.89846923
40.69614567,-73.89846923
40.73083761,-73.93932752
40.69622946,-73.89861584
