lat,lon
40.76640902,-73.95059772
40.76698739,-73.95008166
40.76756576,-73.94956559
40.76814413,-73.94904951
40.76872249,-73.94853342
40.76930085,-73.94801733
40.76987921,-73.94750122
40.77045757,-73.9469851
40.77103593,-73.94646898
40.77161428,-73.94595285
40.77219263,-73.9454367
40.77277098,-73.94492055
40.77334932,-73.94440439
40.77392767,-73.94388822
40.77450601,-73.94337204
40.77508434,-73.94285586
40.77566268,-73.94233966
40.77623946,-73.94179579
40.77681366,-73.94121928
40.77738786,-73.94064275
40.77796205,-73.94006621
40.77853625,-73.93948967
40.79393589,-73.93155524
40.79446449,-73.93077775
40.5730544,-74.07968976
40.79499309,-73.93000025
40.57256873,-74.08039188
40.79555713,-73.92934319
40.57208305,-74.08109399
40.79627679,-73.92932373
40.57159737,-74.08179609
40.7969981,-73.92933024
40.57110811,-74.08249795
40.7977194,-73.92933674
40.57058416,-74.08319443
40.79844071,-73.92934325
40.57006021,-74.0838909
40.79916201,-73.92934976
40.56953625,-74.08458736
40.79988332,-73.92935626
40.56901229,-74.0852838
40.80060462,-73.92936277
40.56848833,-74.08598024
40.80132592,-73.92936928
40.56796436,-74.08667667
40.80204723,-73.92937578
40.56744038,-74.08737308
40.80275079,-73.92969364
40.56691641,-74.08806949
40.80342238,-73.9301854
40.56639243,-74.08876588
40.80409398,-73.93067716
40.56586844,-74.08946227
40.80476558,-73.93116893
40.56534445,-74.09015864
40.80543717,-73.93166071
40.56482046,-74.090855
40.80610876,-73.9321525
40.56429646,-74.09155135
40.80678035,-73.9326443
40.56377246,-74.09224769
40.80745194,-73.93313612
40.56324845,-74.09294402
40.80812352,-73.93362794
40.56272444,-74.09364033
40.80883163,-73.93388716
40.56220043,-74.09433664
40.80957621,-73.93388219
40.56167641,-74.09503294
40.81032079,-73.93387722
40.56115239,-74.09572922
40.81106537,-73.93387224
40.56062836,-74.0964255
40.81180995,-73.93386727
40.56010433,-74.09712176
40.81255453,-73.9338623
40.55958029,-74.09781801
40.81329911,-73.93385732
40.55905625,-74.09851425
40.81404369,-73.93385235
40.55853221,-74.09921048
40.81480048,-73.93387299
40.55800816,-74.0999067
40.81556762,-73.93391677
40.55748411,-74.10060291
40.81633476,-73.93396054
40.55696005,-74.10129911
40.81710191,-73.93400431
40.55643599,-74.10199529
40.81786905,-73.93404809
40.55591193,-74.10269147
40.81863619,-73.93409186
40.55538786,-74.10338764
40.81940333,-73.93413564
40.55486378,-74.10408379
40.82017048,-73.93417942
40.55433971,-74.10477993
40.82093762,-73.9342232
40.55381562,-74.10547606
40.82170476,-73.93426698
40.55329154,-74.10617219
40.82247191,-73.93431076
40.55277596,-74.10687325
40.82323905,-73.93435454
40.55241324,-74.1076933
40.82400619,-73.93439832
40.55205229,-74.10851336
40.82477333,-73.93444211
40.55169182,-74.10933233
40.82554048,-73.93448589
40.55133182,-74.11015022
40.82630762,-73.93452968
40.82707476,-73.93457346
40.8278419,-73.93461725
40.82860905,-73.93466104
40.82937619,-73.93470483
40.83014331,-73.93470019
40.83091049,-73.93465767
40.83167767,-73.93461514
40.83244486,-73.93457261
40.83321204,-73.93453008
40.83397922,-73.93448755
40.83474641,-73.93444501
40.83551359,-73.93440248
40.83623647,-73.93417882
40.83691809,-73.93378271
40.8375997,-73.93338658
40.83828131,-73.93299045
40.83896292,-73.93259431
40.83964453,-73.93219816
40.84032614,-73.93180201
40.84100775,-73.93140584
40.84168935,-73.93100967
40.84237095,-73.93061349
40.84923582,-73.92662261
40.84991745,-73.92622646
40.85054564,-73.92578702
40.85115129,-73.92532816
40.85175693,-73.92486929
40.85236257,-73.92441041
40.85296821,-73.92395153
40.85357385,-73.92349263
40.85417949,-73.92303373
40.85478512,-73.92257481
40.85539076,-73.92211589
40.85599639,-73.92165696
40.85660202,-73.92119803
40.85720764,-73.92073908
40.85781327,-73.92028013
40.85841889,-73.91982116
40.85902452,-73.91936219
40.85963014,-73.91890321
40.86023575,-73.91844423
40.86084137,-73.91798523
40.86274105,-73.91655256
40.86340903,-73.91605184
40.86407702,-73.9155511
40.864745,-73.91505036
40.86541298,-73.91454961
40.86608095,-73.91404885
40.86674893,-73.91354808
40.8674169,-73.91304729
40.86808487,-73.9125465
40.86875284,-73.9120457
40.8694208,-73.91154489
40.87008877,-73.91104406
40.87077656,-73.910657
40.87152051,-73.91069789
40.87225299,-73.91076952
40.87282436,-73.9112958
40.87337917,-73.91187922
40.87370764,-73.91282821
40.8740169,-73.91378915
40.87432575,-73.91474882
40.8746131,-73.91564174
